Frame,Wrist,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_Tip,Index_MCP,Index_PIP,Index_DIP,Index_Tip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_Tip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_Tip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_Tip
78.0,1335.9375,0.0,1321.875,9.375,0.0,4.6875,9.375,4.6875,0.0,0.0,4.6875,13.258252147247767,0.0,0.0,10.481568644530265,0.0,0.0,0.0,4.6875,0.0,0.0
79.0,0.0,9.375,10.481568644530265,4.6875,14.823176532039279,0.0,14.0625,10.481568644530265,18.75,10.481568644530265,0.0,0.0,18.75,13.258252147247767,9.375,0.0,19.327057620082783,14.0625,0.0,14.0625,14.0625
80.0,1378.125,9.375,1335.9457236588992,0.0,10.481568644530265,23.90165396996618,10.481568644530265,4.6875,9.375,9.375,33.14563036811941,4.6875,9.375,4.6875,0.0,14.0625,0.0,10.481568644530265,9.375,14.823176532039279,0.0
81.0,14.0625,19.327057620082783,18.75,4.6875,13.258252147247767,37.79183319514945,23.4375,14.0625,13.258252147247767,18.75,35.69893643373707,14.0625,28.512949360772904,23.4375,10.481568644530265,14.823176532039279,4.6875,14.823176532039279,23.4375,4.6875,14.0625
82.0,0.0,4.6875,14.0625,4.6875,14.0625,14.0625,4.6875,9.375,23.4375,4.6875,0.0,0.0,9.375,9.375,9.375,9.375,13.258252147247767,13.258252147247767,10.481568644530265,0.0,4.6875
83.0,1378.1568873861931,9.375,1321.9082442628157,4.6875,9.375,14.823176532039279,4.6875,14.0625,14.0625,9.375,0.0,0.0,0.0,9.375,4.6875,0.0,9.375,14.0625,4.6875,0.0,14.823176532039279
84.0,1089.4690755416907,190.93126448210222,1161.9016399005454,97.42113366452938,262.8488916981162,218.19135895662188,103.80103219091713,174.98654332752912,31.191491317453874,212.8054841334246,209.5620401688064,171.53070468186306,229.5424496085471,208.19232621579178,213.21974430036894,210.36948703406944,24.45364396790749,218.01217773378795,173.24382436591875,69.99160877963175,115.34875238072097
85.0,9.60113821904156,3.19704575909944,113.83585792312854,144.62422724669239,1.267593295531164,1.9250812960773087,10.419121406362112,1.569824190273255,61.494275988053765,70.81373846734185,3.8537028596365155,7.050271583797873,1.4252882222602643,0.9888747246440127,1.9181988999520612,1.5888218887896237,298.5800762759799,5.375348863327883,3.4412001765683886,215.57007915817687,1.8618885729609693
86.0,267.898383795464,230.11589833250414,87.37287629499804,206.60083151428535,267.59218833518577,226.12654732440626,105.1577059368142,192.4281508931306,91.6054482422789,203.2195603426589,245.25944195714223,224.12658502930748,259.3384233280682,216.69625626364285,249.94821414396566,244.1827605857975,369.41863609472557,243.6244505707147,196.71082765523963,218.99114616822717,145.98990428090642
87.0,14.0625,23.4375,4.6875,32.8125,10.481568644530265,14.0625,18.75,4.6875,18.75,0.0,0.0,32.8125,28.512949360772904,4.6875,0.0,0.0,79.6875,0.0,0.0,14.823176532039279,4.6875
88.0,1368.7580265175616,4.6875,32.8125,28.512949360772904,10.481568644530265,4.6875,4.6875,0.0,20.96313728906053,4.6875,10.481568644530265,9.375,0.0,13.258252147247767,0.0,9.375,28.512949360772904,0.0,0.0,6.629126073623883,9.375
89.0,1434.375,23.4375,9.375,4.6875,9.375,18.75,10.481568644530265,10.481568644530265,84.375,0.0,0.0,6.629126073623883,0.0,10.481568644530265,9.375,9.375,32.8125,0.0,14.0625,28.125,0.0
